unique identifier,Budget Year,Account Type,Department,Unit,Child Fund,Amount
53,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,750
54,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,1510
55,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,1000
56,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,500
57,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,500
58,2011-07-01,Expense,City Council,00211 - District Two,1010 - General Fund: General Purpose,300
59,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,121558
60,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,3300
61,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,24298
62,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,34436
63,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,50307
64,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,-17704
65,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,1540
66,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,1020
67,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,1100
68,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,800
69,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,400
70,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,100
71,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,250
72,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,400
73,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,750
74,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,200
75,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,1000
76,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,290
77,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,900
78,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,100
79,2011-07-01,Expense,City Council,00311 - District Three,1010 - General Fund: General Purpose,900
80,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,121558
81,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,3300
82,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,24298
83,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,34436
84,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,50307
85,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,-17704
86,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,1530
87,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,1500
88,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,1170
89,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,500
90,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,1250
91,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,1000
92,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,300
93,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,400
94,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,100
95,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,1000
96,2011-07-01,Expense,City Council,00411 - District Four,1010 - General Fund: General Purpose,1000
97,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,121558
98,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,3300
99,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,24298
100,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,34436
101,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,50307
102,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,-17704
103,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,2740
104,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,30
105,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,3000
106,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,490
107,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,230
108,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,-18900
109,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,19500
110,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,550
111,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,750
112,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,1050
113,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,10
114,2011-07-01,Expense,City Council,00511 - District Five,1010 - General Fund: General Purpose,300
115,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,121558
116,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,3300
117,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,24298
118,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,34436
119,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,50307
120,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,-17704
121,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,2460
122,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,800
123,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,400
124,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,200
125,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,1950
126,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,300
127,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,590
128,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,220
129,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,1300
130,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,250
131,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,980
132,2011-07-01,Expense,City Council,00611 - District Six,1010 - General Fund: General Purpose,300
133,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,121558
134,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,3300
135,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,24298
136,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,34436
137,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,50307
138,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,-17704
139,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,2240
140,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,310
141,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,2200
142,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,850
143,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,330
144,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,1220
145,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,1400
146,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,700
147,2011-07-01,Expense,City Council,00711 - District Seven,1010 - General Fund: General Purpose,500
148,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,121558
149,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,3300
150,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,24298
151,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,34436
152,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,50307
153,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,-17687
154,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,-17
155,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,2330
156,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,260
157,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,1090
158,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,80
159,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,850
160,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,200
161,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,300
162,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,350
163,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,2260
164,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,1000
165,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,330
166,2011-07-01,Expense,City Council,00911 - Council At Large,1010 - General Fund: General Purpose,700
167,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,454378
168,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,8960
169,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,4500
170,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,106553
171,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,132436
172,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,193572
173,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,-8586
174,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,8430
175,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,250
176,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,2100
177,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,970
178,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,22000
179,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,570
180,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,1710
181,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,3200
182,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,1400
183,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,4179
184,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,561
185,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,17441
186,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,6500
187,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,1300
188,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,600
189,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,700
190,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,233025
191,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,762
192,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,86
193,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,22000
194,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,-69106
195,2011-07-01,Expense,Mayor,01111 - Mayor: Administration,1010 - General Fund: General Purpose,-10480
196,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,405282
197,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,106767
198,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,64266
199,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,524715
200,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,123998
201,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,194365
202,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,4200
203,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,12270
204,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1394
205,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,3127
206,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2776
207,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,340
208,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,340
209,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,17759
210,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,29502
211,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,111989
212,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,53708
213,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,34263
214,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,139812
215,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,32174
216,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,19367
217,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,152469
218,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,58570
219,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,120218
220,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,36184
221,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,28323
222,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,54647
223,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,47054
224,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,85659
225,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,224304
226,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,178613
227,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,704
228,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,6030
229,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,4530
230,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,7905
231,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,4240
232,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2970
233,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,4900
234,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1200
235,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1240
236,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,10800
237,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,65730
238,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,4430
239,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,100
240,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,210
241,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,470
242,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,-3970
243,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,800
244,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2488
245,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,11010
246,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,30770
247,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2330
248,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,6875
249,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1000
250,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,480
251,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,7500
252,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2670
253,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1000
254,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,705
255,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1500
256,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,3380
257,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,18480
258,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,750
259,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,46000
260,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,-17675
261,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2990
262,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,240
263,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,500
264,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,850
265,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,520
266,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,3180
267,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,4200
268,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,5590
269,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1600
270,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,5000
271,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,5550
272,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,15410
273,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,5000000
274,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,59640
275,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,17070
276,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,150000
277,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,130000
278,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,500
279,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,3500
280,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1880
281,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,935
282,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,750
283,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2400
284,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2250
285,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,500
286,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,5850
287,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,500
288,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1350
289,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,5750
290,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,10360
291,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2125
292,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1213
293,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,300
294,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,2060
295,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,530
296,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,3150
297,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,250
298,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,1700
299,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,500
300,2011-07-01,Expense,City Administrator,02111 - City Administrator: Administration,1010 - General Fund: General Purpose,250166
